,PreferedMajor,PreferedSchool,JobType,PreferedStartQuarter,ActualStartQuarter,PreferedNumberofCore,ActualNumberofCore,PreferedNumberQuarters,ActualNumberQuarters,EnrollmentType,mathSequenceBreak,englishSequenceBreak,Rating,SummerPref_no,SummerPref_yes,ActualSummerPref_no,ActualSummerPref_yes
0,10,4,1,0,0,3.5,2.0,6,4,0,71.0,100.0,4,0,1,0,1
1,10,4,1,2,0,3.5,3.5,6,4,1,49.8,65.1,1,0,1,0,1
2,10,4,2,1,0,3.5,4.0,6,4,0,68.0,72.0,2,0,1,0,1
3,10,4,1,0,0,3.5,1.0,6,3,0,100.0,65.1,2,1,0,1,0
4,10,4,1,2,0,3.5,1.0,6,4,0,100.0,65.1,3,0,1,0,1
5,11,4,2,1,0,3.5,2.0,6,3,0,0.0,100.0,1,1,0,1,0
6,8,4,0,1,0,3.5,2.0,6,4,0,72.0,100.0,2,1,0,1,0
7,2,3,1,1,0,3.5,3.0,6,3,0,36.0,65.1,0,0,1,0,1
8,8,4,2,1,2,3.5,1.0,6,2,1,100.0,65.1,3,0,1,0,1
9,12,4,0,3,0,3.5,3.0,6,4,1,100.0,100.0,2,0,1,0,1
10,10,3,1,1,0,3.5,1.0,6,4,1,100.0,65.1,2,0,1,0,1
11,10,4,2,0,0,3.5,3.0,6,3,1,50.0,65.1,1,1,0,1,0
12,0,3,1,3,0,3.5,4.0,6,4,0,78.0,72.0,3,0,1,0,1
13,10,4,1,3,0,3.5,4.0,6,4,0,66.0,72.0,2,0,1,0,1
14,9,4,1,3,1,3.5,3.5,6,2,0,49.8,65.1,2,0,1,0,1
15,10,4,0,0,0,3.5,3.0,6,4,1,66.0,65.1,2,0,1,0,1
16,10,4,2,0,0,3.5,4.0,6,4,0,57.0,72.0,2,0,1,0,1
17,10,4,1,3,2,3.5,1.0,6,2,1,71.0,65.1,2,0,1,0,1
18,10,3,1,3,0,3.5,4.0,6,4,0,59.0,72.0,2,0,1,0,1
19,8,3,2,3,0,3.5,3.0,6,3,0,59.0,65.1,1,1,0,1,0
20,5,4,1,3,0,3.5,4.0,6,4,0,0.0,100.0,1,0,1,0,1
21,8,4,1,1,2,3.5,1.0,6,2,0,100.0,65.1,3,1,0,1,0
22,8,3,2,3,0,3.5,4.0,6,4,0,79.0,84.0,2,0,1,0,1
23,5,4,2,3,0,3.5,2.0,6,3,1,44.0,84.0,2,0,1,0,1
24,7,4,1,3,0,3.5,4.0,6,4,0,89.0,65.1,2,1,0,1,0
25,8,3,1,3,0,3.5,3.0,6,4,1,0.0,100.0,1,1,0,1,0
26,5,4,2,3,2,3.5,3.0,6,3,0,0.0,100.0,1,1,0,1,0
27,12,4,1,0,0,3.5,3.0,6,4,0,100.0,100.0,4,1,0,1,0
28,7,4,1,3,0,3.5,4.0,6,4,0,89.0,65.1,2,1,0,1,0
29,5,4,1,0,0,3.5,3.0,6,3,0,51.0,72.0,2,1,0,1,0
30,10,3,2,3,0,3.5,4.0,6,4,0,65.0,100.0,2,0,1,0,1
31,5,4,1,3,0,3.5,3.0,6,4,0,71.0,100.0,3,1,0,1,0
32,4,2,1,0,0,3.5,4.0,6,4,0,60.0,100.0,3,0,1,0,1
33,8,4,1,1,0,3.5,4.0,6,4,0,90.0,65.1,2,0,1,0,1
34,7,2,0,3,2,3.5,1.0,6,1,0,100.0,100.0,4,0,1,0,1
35,6,4,1,3,0,3.5,3.0,6,3,0,58.0,100.0,2,1,0,1,0
36,5,4,0,0,0,3.5,2.0,6,3,1,100.0,100.0,4,0,1,0,1
37,7,4,1,3,0,3.5,3.0,6,3,1,62.0,65.1,2,1,0,1,0
38,8,4,2,2,0,3.5,3.5,6,4,0,49.8,65.1,0,1,0,1,0
39,10,4,0,3,0,3.5,3.0,6,3,0,81.0,100.0,2,1,0,1,0
40,10,4,1,1,0,3.5,4.0,6,4,0,74.0,71.0,3,0,1,0,1
41,7,4,0,0,0,3.5,4.0,6,4,0,35.0,100.0,2,0,1,0,1
42,10,3,1,0,0,3.5,4.0,6,4,0,0.0,65.1,0,1,0,1,0
43,10,4,0,1,0,3.5,4.0,6,4,1,0.0,72.0,1,0,1,0,1
44,10,0,0,0,0,3.5,3.0,6,3,1,0.0,100.0,1,0,1,0,1
45,10,4,0,3,0,3.5,4.0,6,4,1,0.0,100.0,1,1,0,1,0
46,10,4,1,2,0,3.5,3.0,6,3,0,0.0,100.0,2,1,0,1,0
47,10,4,1,3,0,3.5,4.0,6,4,1,68.0,100.0,3,0,1,0,1
48,5,4,0,0,0,3.5,4.0,6,4,0,0.0,65.1,0,0,1,0,1
49,10,4,1,1,2,3.5,1.0,6,1,0,49.8,100.0,2,1,0,1,0
50,5,4,0,0,0,3.5,4.0,6,4,0,0.0,65.1,2,0,1,0,1
51,10,4,1,1,2,3.5,1.0,6,1,0,49.8,100.0,2,1,0,1,0
52,5,4,0,0,0,3.5,4.0,6,4,0,0.0,65.1,2,0,1,0,1
53,10,4,1,1,2,3.5,1.0,6,1,0,49.8,100.0,2,1,0,1,0
54,5,4,0,0,0,3.5,4.0,6,4,0,0.0,65.1,0,0,1,0,1
55,10,4,1,1,2,3.5,1.0,6,1,0,49.8,100.0,2,1,0,1,0
56,5,4,0,0,0,3.5,4.0,6,4,0,0.0,65.1,0,0,1,0,1
57,8,3,2,3,2,3.5,1.0,6,1,0,49.8,100.0,2,0,1,0,1
58,10,4,2,0,0,3.5,2.0,6,4,0,71.0,100.0,3,0,1,0,1
59,10,4,1,3,0,3.5,3.5,6,4,1,49.8,65.1,2,1,0,1,0
60,10,4,2,1,0,3.5,4.0,6,4,0,68.0,72.0,2,0,1,0,1
61,10,4,0,0,0,3.5,1.0,6,3,0,100.0,65.1,3,1,0,1,0
62,10,4,1,2,0,3.5,1.0,6,4,0,100.0,65.1,2,0,1,0,1
63,11,4,2,3,0,3.5,2.0,6,3,0,0.0,100.0,1,1,0,1,0
64,8,4,0,1,0,3.5,2.0,6,4,0,72.0,100.0,3,1,0,1,0
65,2,3,1,0,0,3.5,3.0,6,3,0,36.0,65.1,0,0,1,0,1
66,8,4,2,2,2,3.5,1.0,6,2,1,100.0,65.1,3,0,1,0,1
67,12,4,0,3,0,3.5,3.0,6,4,0,100.0,100.0,4,1,0,1,0
68,10,3,1,0,0,3.5,1.0,6,4,1,100.0,65.1,3,0,1,0,1
69,10,4,2,3,0,3.5,3.0,6,3,1,50.0,65.1,1,1,0,1,0
70,0,3,0,0,0,3.5,4.0,6,4,0,78.0,65.1,2,1,0,1,0
71,10,4,1,1,0,3.5,4.0,6,4,0,66.0,72.0,2,0,1,0,1
72,9,4,1,0,1,3.5,3.5,6,2,1,49.8,65.1,2,0,1,0,1
73,10,4,0,2,0,3.5,3.0,6,4,1,66.0,65.1,1,0,1,0,1
74,10,4,2,0,0,3.5,4.0,6,4,0,57.0,72.0,2,1,0,1,0
75,10,4,1,3,2,3.5,1.0,6,2,1,71.0,65.1,2,0,1,0,1
76,10,3,0,1,0,3.5,4.0,6,4,0,59.0,72.0,2,1,0,1,0
77,8,3,0,2,0,3.5,3.0,6,3,0,71.0,65.1,2,1,0,1,0
78,5,4,0,0,0,3.5,4.0,6,4,0,0.0,65.1,0,0,1,0,1
79,8,3,2,3,2,3.5,1.0,6,1,0,49.8,100.0,2,0,1,0,1
80,10,4,2,0,0,3.5,2.0,6,4,0,71.0,100.0,3,0,1,0,1
81,10,4,1,3,0,3.5,3.5,6,4,1,49.8,65.1,1,1,0,1,0
82,10,4,2,1,0,3.5,4.0,6,4,0,68.0,72.0,2,0,1,0,1
83,10,4,0,0,0,3.5,1.0,6,3,0,100.0,65.1,3,1,0,1,0
84,10,4,1,2,0,3.5,1.0,6,4,0,100.0,65.1,3,0,1,0,1
85,11,4,2,3,0,3.5,2.0,6,3,0,0.0,100.0,2,1,0,1,0
86,8,4,0,1,0,3.5,2.0,6,4,0,72.0,100.0,3,1,0,1,0
87,2,3,1,0,0,3.5,3.0,6,3,0,36.0,65.1,0,0,1,0,1
88,8,4,2,2,2,3.5,1.0,6,2,1,100.0,65.1,2,0,1,0,1
89,12,4,0,3,0,3.5,3.0,6,4,0,100.0,100.0,4,1,0,1,0
90,10,3,1,0,0,3.5,1.0,6,4,1,100.0,65.1,3,0,1,0,1
91,10,4,2,3,0,3.5,3.0,6,3,1,50.0,65.1,2,1,0,1,0
