,ActualNumberQuarters,ActualNumberofCore,ActualStartQuarter,EnrollmentType,JobType,PreferedMajor,PreferedNumberQuarters,PreferedNumberofCore,PreferedSchool,PreferedStartQuarter,englishSequenceBreak,mathSequenceBreak,Rating,ActualSummerPref_no,ActualSummerPref_yes,SummerPref_no,SummerPref_yes
0,4,2.0,1,0,1,12,6,3.5,7,1,100.0,71.0,5,0,1,0,1
1,4,3.5,1,1,1,12,6,3.5,7,5,65.1,49.8,2,0,1,0,1
2,4,4.0,1,0,2,12,6,3.5,7,3,72.0,68.0,3,0,1,0,1
3,3,1.0,1,0,1,12,6,3.5,7,1,65.1,100.0,4,1,0,1,0
4,4,1.0,1,0,1,12,6,3.5,7,5,65.1,100.0,4,0,1,0,1
5,3,2.0,1,0,2,13,6,3.5,7,3,100.0,0.0,2,1,0,1,0
6,4,2.0,1,0,0,10,6,3.5,7,3,100.0,72.0,4,1,0,1,0
7,3,3.0,1,0,1,3,6,3.5,4,3,65.1,36.0,3,0,1,0,1
8,2,1.0,6,1,2,10,6,3.5,7,3,65.1,100.0,4,0,1,0,1
9,4,3.0,1,1,0,14,6,3.5,7,7,100.0,100.0,5,0,1,0,1
10,4,1.0,1,1,1,12,6,3.5,4,3,65.1,100.0,3,0,1,0,1
11,3,3.0,1,1,2,12,6,3.5,7,1,65.1,50.0,2,1,0,1,0
12,4,4.0,1,0,1,1,6,3.5,4,7,72.0,78.0,4,0,1,0,1
13,4,4.0,1,0,1,12,6,3.5,7,7,72.0,66.0,3,0,1,0,1
14,2,3.5,3,0,1,11,6,3.5,7,7,65.1,49.8,2,0,1,0,1
15,4,3.0,1,1,0,12,6,3.5,7,1,65.1,66.0,3,0,1,0,1
16,4,4.0,1,0,2,12,6,3.5,7,1,72.0,57.0,3,0,1,0,1
17,2,1.0,6,1,1,12,6,3.5,7,7,65.1,71.0,3,0,1,0,1
18,4,4.0,1,0,1,12,6,3.5,4,7,72.0,59.0,3,0,1,0,1
19,3,3.0,1,0,2,10,6,3.5,4,7,65.1,59.0,2,1,0,1,0
20,4,4.0,1,0,1,6,6,3.5,7,7,100.0,0.0,2,0,1,0,1
21,2,1.0,6,0,1,10,6,3.5,7,3,65.1,100.0,4,1,0,1,0
22,4,4.0,1,0,2,10,6,3.5,4,7,84.0,79.0,5,0,1,0,1
23,3,2.0,1,1,2,6,6,3.5,7,7,84.0,44.0,3,0,1,0,1
24,4,4.0,1,0,1,9,6,3.5,7,7,65.1,89.0,3,1,0,1,0
25,4,3.0,1,1,1,10,6,3.5,4,7,100.0,0.0,2,1,0,1,0
26,3,3.0,6,0,2,6,6,3.5,7,7,100.0,0.0,3,1,0,1,0
27,4,3.0,1,0,1,14,6,3.5,7,1,100.0,100.0,5,1,0,1,0
28,4,4.0,1,0,1,9,6,3.5,7,7,65.1,89.0,3,1,0,1,0
29,3,3.0,1,0,1,6,6,3.5,7,1,72.0,51.0,2,1,0,1,0
30,4,4.0,1,0,2,12,6,3.5,4,7,100.0,65.0,4,0,1,0,1
31,4,3.0,1,0,1,6,6,3.5,7,7,100.0,71.0,4,1,0,1,0
32,4,4.0,1,0,1,5,6,3.5,3,1,100.0,60.0,4,0,1,0,1
33,4,4.0,1,0,1,10,6,3.5,7,3,65.1,90.0,3,0,1,0,1
34,1,1.0,6,0,0,9,6,3.5,3,7,100.0,100.0,5,0,1,0,1
35,3,3.0,1,0,1,7,6,3.5,7,7,100.0,58.0,3,1,0,1,0
36,3,2.0,1,1,0,6,6,3.5,7,1,100.0,100.0,5,0,1,0,1
37,3,3.0,1,1,1,9,6,3.5,7,7,65.1,62.0,2,1,0,1,0
38,4,3.5,1,0,2,10,6,3.5,7,5,65.1,49.8,3,1,0,1,0
39,3,3.0,1,0,0,12,6,3.5,7,7,100.0,81.0,4,1,0,1,0
40,4,4.0,1,0,1,12,6,3.5,7,3,71.0,74.0,4,0,1,0,1
