,0,1,2,3,4
1,[1],"['ENGL& 230 ', 'MATH 261  ']","[4, 1]",['Mechanical Engineering'],['Washington State University']
3,[3],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[4, 1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
4,[4],['MATH 260  '],[1],['Mechanical Engineering'],['Washington State University']
5,[5],['MATH 261  '],[4],['Mechanical Engineering'],['Washington State University']
6,[6],['MATH& 146 '],[1],['Nursing'],['Washington State University']
7,[7],['MATH& 146 '],[4],['General Major'],['Washington State University']
8,[8],"['MATH& 264 ', 'MATH& 163 ', 'MATH& 264 ']","[3, 1, 2]",['Chemical Engineering'],['University of Washington Seattle']
10,[10],['ENGL& 102 '],[2],['Pharmacy'],['Washington State University']
12,[12],"['MATH 261  ', 'MATH 260  ']","[1, 2]",['Mechanical Engineering'],['Washington State University']
13,[13],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[1, 2, 3, 2, 3]",['Aeronautics Engineering'],['University of Washington Seattle']
14,[14],"['MATH& 163 ', 'ENGL& 230 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 2, 3]",['Mechanical Engineering'],['Washington State University']
16,[16],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[3, 1, 2, 3]",['Mechanical Engineering'],['Washington State University']
17,[17],"['ENGL& 230 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[4, 1, 2, 3, 4]",['Mechanical Engineering'],['Washington State University']
18,[18],['MATH 261  '],[3],['Mechanical Engineering'],['Washington State University']
19,[19],"['MATH& 163 ', 'ENGL& 230 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 1, 2, 3]",['Mechanical Engineering'],['University of Washington Seattle']
20,[20],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[3, 1, 2, 3]",['General Major'],['University of Washington Seattle']
21,[21],['MATH& 146 '],[1],['Computer Science'],['Washington State University']
23,[23],"['ENGL& 101 ', 'ENGL& 230 ', 'MATH& 163 ', 'MATH 260  ', 'MATH 261  ', 'MATH& 264 ']","[2, 4, 1, 2, 3, 1]",['General Major'],['University of Washington Seattle']
24,[24],"['ENGL& 101 ', 'MATH& 163 ', 'ENGL& 102 ', 'MATH& 146 ']","[2, 3, 2, 2]",['Computer Science'],['Washington State University']
25,[25],"['MATH& 163 ', 'MATH& 264 ', 'MATH 261  ', 'MATH 260  ']","[3, 4, 1, 2]",['Electrical Engineering'],['Washington State University']
26,[26],"['ENGL& 102 ', 'MATH& 163 ', 'MATH& 264 ']","[2, 3, 2]",['General Major'],['University of Washington Seattle']
27,[27],"['ENGL& 101 ', 'ENGL& 102 ', 'MATH& 146 ']","[2, 3, 4]",['Computer Science'],['Washington State University']
28,[28],['ENGL& 102 '],[2],['Pharmacy'],['Washington State University']
29,[29],"['MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[3, 4, 1, 2]",['Electrical Engineering'],['Washington State University']
30,[30],"['MATH& 163 ', 'ENGL& 102 ', 'MATH& 146 ', 'MATH 260  ']","[1, 3, 2, 3]",['Computer Science'],['Washington State University']
31,[31],"['MATH& 163 ', 'MATH& 264 ', 'ENGL& 102 ', 'MATH 261  ', 'MATH 260  ']","[1, 2, 2, 4, 2]",['Mechanical Engineering'],['University of Washington Seattle']
32,[32],"['ENGL& 101 ', 'MATH& 163 ', 'MATH 260  ', 'ENGL& 102 ']","[2, 1, 2, 3]",['Computer Science'],['Washington State University']
33,[33],"['ENGL& 101 ', 'MATH& 163 ', 'MATH& 264 ', 'MATH 260  ', 'MATH 261  ']","[2, 2, 3, 3, 4]",['Computer Engineering'],['University of Washington Bothell']
